artist_name,artist_id,ethnicity,gender,genre
Visionobi,visionobi,NA,NA,NA
Phace,phace,NA,NA,NA
Misanthrop,misanthrop,NA,NA,NA
Halogenix,halogenix,NA,NA,NA
DJ Patife,djpatife,NA,NA,NA
KOKOKO!,kokoko,NA,NA,NA
Jamie Jones,jamiejones,NA,NA,NA
Francesco Del Garda,francescodelgarda,NA,NA,NA
Youngman,youngman,NA,NA,NA
Doctor P,doctorp,NA,NA,NA
Dodge & Fuski,dodgefuski,NA,NA,NA
Maceo Plex,maceoplex,NA,NA,NA
Dino Lenny,dinolenny,NA,NA,NA
Boris Werner,boriswerner,NA,NA,NA
Mount Kimbie,mountkimbie,NA,NA,NA
Paranoid London,paranoidlondon,NA,NA,NA
nd_baumecker,nd_baumecker,NA,NA,NA
DEBONAIR,debonair-uk,NA,NA,NA
Carl Anians,carlanians,NA,NA,NA
Miller,miller,NA,NA,NA
Nicolau,nicolau,NA,NA,NA
Ben UFO,benufo,NA,NA,NA
Pangaea,pangaea,NA,NA,NA
Pearson Sound,pearsonsound,NA,NA,NA
rRoxymore,roxymore,NA,NA,NA
Shelley Parker,shelleyparker,NA,NA,NA
Little Hado,littlehado,NA,NA,NA
Dean Marc,deanmarc,NA,NA,NA
Evonii,evonii,NA,NA,NA
Ei8ht,ei8ht,NA,NA,NA
Truncate,truncate,NA,NA,NA
Andres Campo,andrescampo,NA,NA,NA
Rene LaVice,renelavice,NA,NA,NA
Brookes Brothers,brookesbrothers,NA,NA,NA
Jubei,jubei,NA,NA,NA
DJ Die,djdie,NA,NA,NA
Concord Dawn,concorddawn,NA,NA,NA
Klute,klute,NA,NA,NA
dogger,dogger,NA,NA,NA
Mindstate,mindstate,NA,NA,NA
SP:MC,spmc,NA,NA,NA
Mantmast,mantmast,NA,NA,NA
Bicep,bicep,NA,NA,NA
Cromby,cromby,NA,NA,NA
Cormac,cormac,NA,NA,NA
Josh Caffe,joshcaffe,NA,NA,NA
Jaye Ward,jayeward,NA,NA,NA
Call Super,callsuper,NA,NA,NA
Objekt,objekt,NA,NA,NA
VTSS,vtss,NA,NA,NA
Eli Brown,elibrown,NA,NA,NA
Francisco Allendes,franciscoallendes,NA,NA,NA
Matthias Tanzmann,matthiastanzmann,NA,NA,NA
Secondcity,secondcity,NA,NA,NA
The Martinez Brothers,themartinezbros,NA,NA,NA
Lauren Lo Sung,laurenlosung,NA,NA,NA
Rødhåd,rodhad,NA,NA,NA
Adiel,adiel,NA,NA,NA
British Murder Boys,britishmurderboys,NA,NA,NA
Surgeon,surgeon,NA,NA,NA
Regis,regis,NA,NA,NA
Samuel Kerridge,samuelkerridge,NA,NA,NA
Marcel Dettmann,marceldettmann,NA,NA,NA
François X,francoisx,NA,NA,NA
Rusko,rusko,NA,NA,NA
DJ Hype,djhype,NA,NA,NA
DJ Hazard,djhazard,NA,NA,NA
J Majik,jmajik,NA,NA,NA
Mantra,mantra,NA,NA,NA
Foreign Beggars,foreignbeggars,NA,NA,NA
Inja,inja,NA,NA,NA
Carasel,carasel,NA,NA,NA
